,artist,song
1,Vulfpeck,Dean Town
2,Tito Cordone,"Kerry's Song (from ""Cyberpunk 2077"")"
3,Oleksa Lozowchuk,In the Flood (feat. Ariana Gillis)
4,Нервы,Слишком влюблён
5,Dope,My Funeral
6,Young Dubliners,The Foggy Dew
7,Geek Music,JoJo's Bizarre Adventure: Golden Wind: Giorno's Theme: Il Vento D'Oro: Main Theme
8,Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version"
9,Sonya Belousova,Toss A Coin To Your Witcher
10,WangleLine,Kissing Ancaps
11,Rammstein,Keine Lust
12,Three Days Grace,Animal I Have Become
13,NOMA,Brain Power
14,Toby Fox,Bonetrousle
15,Billie Eilish,Happier Than Ever
16,Disturbed,Shout 2000
17,Camellia,GHOST
18,Måneskin,ZITTI E BUONI
19,Royal Blood,Lights Out
20,Mutemath,Blood Pressure
21,Foo Fighters,Free Me
22,Ill Niño,My Pleasant Torture
23,Emigrate,Rainbow
24,Jaroslav Beck,Escape (ft. Summer Haze)
25,The Wellermen,Wellerman
26,Metallica,Hardwired
27,Linkin Park,Given Up
28,M|O|O|N,Hydrogen
29,Blackway,What's Up Danger (with Black Caviar)
30,Stormxx,Roquefeller Street
31,Dave Wave,Pink Swingin' Elephants on Parade
32,Noise Complaint,Trndsttr
33,The Black Keys,I Got Mine
34,Ratt,Round and Round
35,Heaven's Basement,I Am Electric
36,Aloe Blacc,I Need A Dollar
37,Fiends,Keep Me in the Dark
38,Periphery,All New Materials
39,Richard Armitage,Misty Mountains
40,Pierce The Veil,Hell Above
41,Caravan Palace,Lone Digger
42,The Longest Johns,Wellerman
43,Chad Kroeger,Hero (feat. Josey Scott)
44,Karnivool,New Day
45,Machine Head,Game Over
46,Betty Booom,Betty Boop (Electro Swing)
47,Long Distance Calling,Lines (feat. Petter Carlsen)
48,Light The Torch,More Than Dreaming
49,The Protomen,The Hounds
50,Klaxons,It's Not Over Yet
51,Two Door Cinema Club,What You Know
52,John Mayer,"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
53,Qumu,"World Bowser (From ""Super Mario 3D World"")"
54,Pascal Michael Stiefel,Trainwreck of Electro Swing (Remix)
55,DM DOKURO,"Reality Check Through The Skull (""MEGALOVANIA"" and ""Song That Might Play When You Fight Sans"" from ""Undertale"")"
56,dave rodgers,DEJA VU - Extended ver.
57,Glen Hansard,Falling Slowly
58,Leprous,The Price
59,Bloodywood,Machi Bhasad
60,The Blanks,Hey Ya!
61,Dorje,Catalyst
62,Papa Roach,Born For Greatness
63,Manntra,Sin
64,Highly Suspect,Canals
65,Death From Above 1979,Freeze Me
66,The Comet Is Coming,Start Running
67,Red Sun Rising,Deathwish
68,Thank You Scientist,My Famed Disappearing Act
69,The Intersphere,Antitype
70,Rendezvous Point,Digital Waste
71,bloodsimple,Straight Hate
72,Annisokay,Face the Facts
73,TOOL,The Pot
74,NOTHING MORE,Jenny
75,Bring Me The Horizon,Parasite Eve
76,Sub Urban,Cradles
77,Stone Sour,Through Glass
78,Bruno Pelletier,Le temps des cathédrales
79,Like A Storm,The Devil Inside
80,Corey Taylor,From Can to Can't
81,Kaiser Franz Josef,Dive
82,Innerpartysystem,Don't Stop
83,Supercombo,Eutanásia
84,Scalene,esc (caverna digital)
85,Christina Perri,Jar of Hearts
86,Passenger,Let Her Go
87,The Raconteurs,"Steady, As She Goes"
88,Limp Bizkit,My Generation
89,Lindemann,Steh auf
90,Badflower,The Jester
